comicID;characterID
16232;1009220
16248;1009220
21486;1011109
58634;1010808
16241;1009220
21479;1011109
21468;1011010
15808;1011010
17486;1009175
16234;1009220
21461;1011010
10511;1009359
21481;1011109
21470;1011010
27238;1009368
16236;1009220
21474;1011109
21463;1011010
71251;1010676
71267;1009367
69098;1009268
62124;1010338
69097;1009268
68868;1009378
67842;1011197
70092;1009277
70269;1009283
68147;1009268
71379;1009508
67717;1009168
70259;1009726
69019;1017577
67135;1009351
67950;1017438
67703;1010801
67725;1009505
70236;1009508
70224;1009733
69381;1009281
67145;1009282
68000;1009241
68252;1009365
68608;1011385
68957;1009664
67919;1009220
68111;1009262
70158;1009625
67349;1010354
60892;1009726
42257;1009552
68148;1009268
67173;1009356
69433;1009599
69096;1009313
69853;1009368
68600;1009277
70051;1010787
67633;1009404
69467;1009609
70208;1009726
68094;1009262
70196;1009726
69343;1009571
70219;1009204
67593;1013483
69435;1009599
69079;1017583
73710;1017577
68936;1009356
70235;1009243
69925;1009407
70943;1009299
70945;1009299
69491;1009268
67210;1009297
69497;1009268
68787;1009399
68747;1009378
67762;1009165
69730;1010338
69959;1009368
68656;1010354
67907;1009214
69111;1017577
70944;1009282
69419;1010747
68592;1011001
69036;1009406
67134;1009351
73623;1009241
69221;1009338
70248;1009478
69279;1009610
69462;1009351
73709;1017577
67982;1011227
69114;1017577
68584;1009368
67622;1009722
70149;1010359
70218;1009310
69374;1009524
68331;1009274
67942;1009220
67538;1009212
68358;1009197
69214;1009312
68960;1009220
70155;1009722
69937;1009407
68267;1009268
68100;1009262
68146;1009268
68669;1011020
67692;1009610
69852;1009189
69148;1011336
67631;1009610
69902;1009391
71526;1009610
73708;1017577
68321;1011023
67702;1010801
69030;1017577
69055;1010801
68663;1017577
68397;1009220
67999;1009241
69365;1009189
67799;1010801
68250;1009365
68618;1009351
68606;1011385
70940;1009299
67917;1009220
67841;1011197
70234;1009243
70091;1009277
68145;1009268
67319;1009229
67716;1009175
68295;1009282
